Year,Month,Day,Hour,Value
2018,02,06,4,42.06
2018,02,06,5,42.05
2018,02,06,6,43.03
2018,02,06,7,44.69
2018,02,06,8,56.77
2018,02,06,9,62.51
2018,02,06,10,62.09
2018,02,06,11,60.07
2018,02,06,12,58.75
2018,02,06,13,55.06
2018,02,06,14,54.1
2018,02,06,15,52.91
2018,02,06,16,51.62
2018,02,06,17,53.75
2018,02,06,18,60.21
2018,02,06,19,62.48
2018,02,06,20,62.36
2018,02,06,21,62.09
2018,02,06,22,61.87
2018,02,06,23,58.99
2018,02,06,24,50.16
2018,02,07,1,48.25
2018,02,07,2,44.69
2018,02,07,3,44.19
2018,02,07,4,44.03
2018,02,07,5,43.69
2018,02,07,6,43.53
2018,02,07,7,47.18
2018,02,07,8,59.21
2018,02,07,9,62.62
2018,02,07,10,63.9
2018,02,07,11,62.62
2018,02,07,12,61.43
2018,02,07,13,59.83
2018,02,07,14,58.1
2018,02,07,15,53.46
2018,02,07,16,52.5
2018,02,07,17,55.55
2018,02,07,18,60.19
2018,02,07,19,65.13
2018,02,07,20,65.62
2018,02,07,21,66.35
2018,02,07,22,66.19
2018,02,07,23,63.87
2018,02,07,24,61.28
2018,02,08,1,62.09
2018,02,08,2,56.51
2018,02,08,3,51
2018,02,08,4,50.16
2018,02,08,5,50.16
2018,02,08,6,50.19
2018,02,08,7,56.07
2018,02,08,8,62.34
2018,02,08,9,67.66
2018,02,08,10,67.45
2018,02,08,11,67.18
2018,02,08,12,65.62
2018,02,08,13,64.84
2018,02,08,14,64.63
2018,02,08,15,62.62
2018,02,08,16,62.09
2018,02,08,17,63
2018,02,08,18,64.63
2018,02,08,19,71.19
2018,02,08,20,71.04
2018,02,08,21,71.04
2018,02,08,22,70.49
2018,02,08,23,69.42
2018,02,08,24,67.67
2018,02,09,1,62.62
2018,02,09,2,63.73
2018,02,09,3,53.58
2018,02,09,4,50.8
2018,02,09,5,50.5
2018,02,09,6,53.35
2018,02,09,7,58.57
2018,02,09,8,63.57
2018,02,09,9,67.62
2018,02,09,10,69.19
2018,02,09,11,68
2018,02,09,12,67.42
2018,02,09,13,67.66
2018,02,09,14,67.44
2018,02,09,15,65
2018,02,09,16,62.09
2018,02,09,17,60.51
2018,02,09,18,58.15
2018,02,09,19,58.57
2018,02,09,20,62.48
2018,02,09,21,63.53
2018,02,09,22,62.3
2018,02,09,23,58.3
2018,02,09,24,52
2018,02,10,1,49.51
2018,02,10,2,46.96
2018,02,10,3,44.99
2018,02,10,4,44.32
2018,02,10,5,44.03
2018,02,10,6,44.03
2018,02,10,7,44.19
2018,02,10,8,46.99
2018,02,10,9,46.99
2018,02,10,10,53
2018,02,10,11,60.21
2018,02,10,12,53.18
2018,02,10,13,49.51
2018,02,10,14,48
2018,02,10,15,46.99
2018,02,10,16,45.41
2018,02,10,17,44.99
2018,02,10,18,44.99
2018,02,10,19,56.07
2018,02,10,20,64.63
2018,02,10,21,66.42
2018,02,10,22,66.01
2018,02,10,23,62.09
2018,02,10,24,60.6
2018,02,11,1,50.81
2018,02,11,2,46.99
2018,02,11,3,44.57
2018,02,11,4,44.19
2018,02,11,5,43.26
2018,02,11,6,43.07
2018,02,11,7,43.22
2018,02,11,8,44.17
2018,02,11,9,44.17
2018,02,11,10,44.99
2018,02,11,11,48.32
2018,02,11,12,48.43
2018,02,11,13,48
2018,02,11,14,50.43
2018,02,11,15,47.31
2018,02,11,16,44.67
2018,02,11,17,44.32
2018,02,11,18,44.47
2018,02,11,19,48.4
2018,02,11,20,61.68
2018,02,11,21,63.03
2018,02,11,22,63.86
2018,02,11,23,62.49
2018,02,11,24,55.18
2018,02,12,1,45
2018,02,12,2,43.22
2018,02,12,3,42.12
2018,02,12,4,40.26
2018,02,12,5,40.26
2018,02,12,6,41.7
2018,02,12,7,47.57
2018,02,12,8,58.87
2018,02,12,9,61.11
2018,02,12,10,62.09
2018,02,12,11,62.25
2018,02,12,12,61.28
2018,02,12,13,60.65
2018,02,12,14,60.07
2018,02,12,15,59.92
2018,02,12,16,55.21
2018,02,12,17,54.95
2018,02,12,18,58.64
2018,02,12,19,61.44
2018,02,12,20,64
2018,02,12,21,65.01
2018,02,12,22,64.99
2018,02,12,23,62.28
2018,02,12,24,61.01
2018,02,13,1,60.05
2018,02,13,2,48.4
2018,02,13,3,44.32
2018,02,13,4,42.79
2018,02,13,5,41.71
2018,02,13,6,41.71
2018,02,13,7,43.99
2018,02,13,8,56.81
2018,02,13,9,60.69
2018,02,13,10,60.45
2018,02,13,11,60.05
2018,02,13,12,52.8
2018,02,13,13,49.62
2018,02,13,14,49.3
2018,02,13,15,45.56
2018,02,13,16,43.99
2018,02,13,17,45.36
2018,02,13,18,49.85
2018,02,13,19,54.38
2018,02,13,20,60.61
2018,02,13,21,61.92
2018,02,13,22,61.48
