date,hour,class,type,regime,p_mean_pred_eur_mwh,Price_EUR_MWh,k_anchor,mu_anchor,TomorrowMean_EUR_MWh,LowQuantileUsed,ValleyHours,ValleyMultBase,Source
2025-12-27,5,SAT_INV,SAT,LOW,83.81262130061353,75.39806592331173,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,6,SAT_INV,SAT,LOW,83.81262130061353,77.57119866137262,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,7,SAT_INV,SAT,LOW,83.81262130061353,81.01228019708479,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,8,SAT_INV,SAT,LOW,83.81262130061353,85.00089629202401,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,9,SAT_INV,SAT,LOW,83.81262130061353,88.44208617801968,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,10,SAT_INV,SAT,LOW,83.81262130061353,87.55429807129238,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,11,SAT_INV,SAT,LOW,83.81262130061353,82.79081176695844,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,12,SAT_INV,SAT,LOW,83.81262130061353,79.94346755432342,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,13,SAT_INV,SAT,LOW,83.81262130061353,79.14604538731163,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,14,SAT_INV,SAT,LOW,83.81262130061353,77.72056206660746,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,15,SAT_INV,SAT,LOW,83.81262130061353,76.37943356515342,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,16,SAT_INV,SAT,LOW,83.81262130061353,79.52314816795759,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
